Date,Show_name,Potential_Gross,Difference,Average_ticket,Seats_Sold,Seats_in_theater,Previews,%cap,diff_cap
2023-04-09,Funny Girl,1830171.0,15659.75,191.56,9554.0,1219.0,8.0,97.97,4.33
2023-04-09,Good Night Oscar,265238.8,0.00,161.63,1641.0,1022.0,0.0,80.28,0.0
2023-04-09,Hadestown,865899.25,-34160.50,118.18,7327.0,918.0,8.0,99.77,-0.65
2023-04-09,Hamilton,2001094.0,8778.00,186.30,10741.0,1324.0,8.0,101.41,0.34
2023-04-09,Harry Potter and the Cursed Child,1819727.1,388481.70,140.44,12957.0,1622.0,8.0,99.85,7.53
2023-04-09,Kimberly Akimbo,466254.95,-18757.50,80.65,5781.0,773.0,8.0,93.48,2.78
2023-04-09,Leopoldstadt,456728.7,-37511.85,87.38,5227.0,1075.0,8.0,60.78,3.68
2023-04-09,Life of Pi,634700.95,134633.11,84.48,7513.0,990.0,8.0,94.86,1.82
2023-04-09,The Lion King,2980093.0,716305.00,220.08,13541.0,1696.0,8.0,99.8,0.96
2023-04-09,MJ The Musical,1845037.0,73361.00,166.25,11098.0,1387.0,8.0,100.02,0.07
2023-04-09,Moulin Rouge! The Musical,1801019.19,239395.48,172.53,10439.0,1300.0,8.0,100.38,0.12
2023-04-09,New York New York,931110.8,60297.05,86.23,10798.0,1643.0,0.0,93.89,4.84
2023-04-09,Parade,1134538.55,-23954.35,139.93,8108.0,1020.0,8.0,99.36,0.02
2023-04-09,Peter Pan Goes Wrong,590710.2,141627.70,83.20,7100.0,1047.0,0.0,84.77,9.5
2023-04-09,The Phantom of the Opera,3648872.13,401766.10,279.37,13061.0,1605.0,8.0,101.72,-0.02
2023-04-09,Pictures From Home,183578.52,-141005.48,66.63,2755.0,807.0,6.0,56.9,-17.02
2023-04-09,Shucked,554955.6,72759.90,62.08,8940.0,1171.0,8.0,95.43,-2.35
2023-04-09,SIX: The Musical,1208378.0,34448.00,146.13,8269.0,1031.0,8.0,100.25,-0.15
2023-04-09,Some Like It Hot,849520.98,22378.78,92.94,9141.0,1448.0,8.0,78.91,4.63
2023-04-09,Summer 1976,274971.0,0.00,83.55,3291.0,637.0,0.0,86.11,0.0
2023-04-09,Sweeney Todd,1790826.0,55896.00,169.49,10566.0,1498.0,7.0,100.76,0.05
2023-04-09,The Thanksgiving Play,159187.45,-31568.40,46.37,3433.0,581.0,0.0,73.86,-5.96
2023-04-09,Wicked,2751659.0,750300.00,158.81,17327.0,1926.0,9.0,99.96,0.36
2023-04-16,& Juliet,1297395.4,-4948.20,158.16,8203.0,1026.0,8.0,99.94,-0.29
2023-04-16,Aladdin,1761652.8,-416743.20,131.47,13400.0,1727.0,8.0,96.99,-2.59
2023-04-16,Bad Cinderella,571191.6,-68199.05,70.79,8069.0,1398.0,8.0,72.15,-12.43
2023-04-16,A Beautiful Noise The Neil Diamond Musical,957018.1,175096.70,137.25,6973.0,1152.0,8.0,75.66,8.51
2023-04-16,The Book of Mormon,1051419.8,-59507.10,126.85,8289.0,1066.0,8.0,97.2,-3.46
2023-04-16,Camelot,811393.0,-119853.00,101.02,8032.0,1047.0,5.0,95.89,2.07
2023-04-16,Chicago,683480.11,-180197.04,97.35,7021.0,1080.0,8.0,81.26,-15.93
2023-04-16,Dancin',589095.34,-21462.36,100.98,5834.0,989.0,8.0,73.74,-4.04
2023-04-16,A Doll's House,858832.0,17391.00,121.79,7052.0,946.0,8.0,93.18,-2.35
2023-04-16,Fat Ham,309831.0,19950.00,72.15,4294.0,704.0,7.0,76.24,-16.64
2023-04-16,Funny Girl,1762875.25,-67295.75,198.97,8860.0,1219.0,8.0,90.85,-7.12
2023-04-16,Good Night Oscar,603555.58,338316.78,120.93,4991.0,1022.0,0.0,69.77,-10.51
2023-04-16,Hadestown,888260.4,22361.15,122.76,7236.0,918.0,8.0,98.53,-1.24
2023-04-16,Hamilton,2040243.0,39149.00,190.37,10717.0,1324.0,8.0,101.18,-0.23
2023-04-16,Harry Potter and the Cursed Child,1671858.1,-147869.00,132.07,12659.0,1622.0,8.0,97.56,-2.29
2023-04-16,Kimberly Akimbo,455158.2,-11096.75,89.51,5085.0,773.0,8.0,82.23,-11.25
2023-04-16,Leopoldstadt,461536.6,4807.90,92.59,4985.0,1075.0,8.0,57.97,-2.81
2023-04-16,Life of Pi,574863.95,-59837.00,89.70,6409.0,978.0,8.0,81.91,-12.95
2023-04-16,The Lion King,2825907.0,-154186.00,190.43,14840.0,1696.0,9.0,97.22,-2.58
2023-04-16,MJ The Musical,1733303.0,-111734.00,157.17,11028.0,1387.0,8.0,99.39,-0.63
2023-04-16,Moulin Rouge! The Musical,1469859.56,-331159.63,142.11,10343.0,1300.0,8.0,99.45,-0.93
