,Title,Weekly Gross,Gross Difference,Average Ticket Price,Seats Sold,Performance Count,Percent Capacity,Capacity Difference,Week Ending,Theater,Potential Gross,Top Ticket Price,Theater Capacity,Preview Count
109,Wicked,"$1,528,895.00","$118,763.50",$111.41,"13,723",8,94.93%,-2.19%,2020-02-16,Gershwin Theatre,"$1,779,845.00",$250.00,"1,807",0
110,Ain't Too Proud—The Life and Times of the Temptations,"$1,199,875.28","$45,917.85",$116.73,"10,279",8,90.23%,0.74%,2020-02-09,Imperial Theatre,"$1,520,824.00",$297.00,"1,424",0
111,Aladdin,"$1,076,315.46","$16,508.56",$82.32,"13,075",8,94.64%,0.42%,2020-02-09,New Amsterdam Theatre,"$1,334,810.00",$215.50,"1,727",0
112,Beetlejuice,"$1,044,068.02","-$9,891.88",$90.85,"11,492",8,96.22%,0.00%,2020-02-09,Winter Garden Theatre,"$1,310,008.00",$323.00,"1,493",0
113,The Book of Mormon,"$967,597.55","$3,199.95",$119.52,"8,096",8,96.66%,-0.16%,2020-02-09,Eugene O'Neill Theatre,"$1,190,502.00",$477.50,"1,047",0
114,Chicago,"$624,465.00","$48,981.10",$82.55,"7,565",8,87.56%,5.47%,2020-02-09,Ambassador Theatre,"$960,444.00",$207.00,"1,080",0
115,Come From Away,"$826,621.11",-$118.59,$97.58,"8,471",8,101.23%,0.24%,2020-02-09,Gerald Schoenfeld Theatre,"$1,108,592.00",$297.00,"1,046",0
116,David Byrne's American Utopia,"$1,416,343.50","$253,126.00",$210.55,"6,727",7,100.00%,0.00%,2020-02-09,Hudson Theatre,"$922,575.50",$649.00,961,0
117,Dear Evan Hansen,"$966,480.70","-$52,190.40",$123.39,"7,833",8,99.50%,-1.00%,2020-02-09,Music Box Theatre,"$1,234,034.00",$297.00,984,0
118,Frozen,"$994,862.40","$22,191.40",$79.11,"12,575",8,93.34%,1.64%,2020-02-09,St. James Theatre,"$1,156,856.00",$217.50,"1,684",0
119,Girl From the North Country,"$316,215.40",$0.00,$110.29,"2,867",0,95.76%,0.00%,2020-02-09,Belasco Theatre,"$387,108.00",$247.00,998,3
120,Grand Horizons,"$231,782.63","$6,417.50",$62.04,"3,736",8,79.83%,1.95%,2020-02-09,Helen Hayes Theater,"$571,240.00",$199.00,585,0
121,Hadestown,"$1,092,031.00","$5,051.25",$147.39,"7,409",8,100.89%,0.20%,2020-02-09,Walter Kerr Theatre,"$1,094,012.00",$0.00,918,0
122,Hamilton,"$2,692,357.00","$15,819.00",$250.34,"10,755",8,101.54%,0.01%,2020-02-09,Richard Rodgers Theatre,"$2,605,608.00",$847.00,"1,324",0
123,Harry Potter and the Cursed Child,"$1,012,207.00","$18,935.00",$78.01,"12,976",8,100.00%,0.00%,2020-02-09,Lyric Theatre,"$928,046.00",$296.50,"1,622",0
124,The Inheritance,"$308,715.02","-$93,115.98",$74.14,"4,164",8,49.67%,-7.73%,2020-02-09,Ethel Barrymore Theatre,"$1,137,638.00",$347.00,"1,048",0
125,Jagged Little Pill,"$912,401.16","-$25,419.80",$104.10,"8,765",8,97.39%,1.56%,2020-02-09,Broadhurst Theatre,"$1,241,400.00",$247.00,"1,125",0
126,The Lion King,"$1,419,206.00","$13,973.00",$111.14,"12,769",8,94.11%,2.99%,2020-02-09,Minskoff Theatre,"$1,935,608.00",$237.00,"1,696",0
127,Mean Girls,"$833,703.80","$75,035.55",$89.67,"9,297",8,94.87%,2.90%,2020-02-09,August Wilson Theatre,"$1,176,000.00",$249.50,"1,225",0
128,Moulin Rouge! The Musical,"$1,630,284.00","$19,965.50",$156.52,"10,416",8,100.00%,-0.10%,2020-02-09,Al Hirschfeld Theatre,"$1,754,340.00",$399.00,"1,302",0
129,My Name is Lucy Barton,"$544,474.70",$927.20,$122.11,"4,459",7,98.61%,0.31%,2020-02-09,Samuel J. Friedman Theatre,"$754,974.00",$299.00,646,0
130,The Phantom of the Opera,"$734,139.14","-$7,090.06",$73.16,"10,035",8,78.15%,0.99%,2020-02-09,Majestic Theatre,"$1,358,986.00",$213.00,"1,605",0
131,A Soldier's Play,"$409,337.10","$29,573.00",$77.25,"5,299",8,91.87%,3.38%,2020-02-09,American Airlines Theatre,"$655,256.00",$297.00,721,0
132,Tina: The Tina Turner Musical,"$1,429,465.00","$37,923.00",$135.42,"10,556",8,89.28%,-2.74%,2020-02-09,Lunt-Fontanne Theatre,"$1,566,688.00",$297.00,"1,478",0
133,To Kill A Mockingbird,"$1,356,854.00","-$4,402.50",$121.01,"11,213",8,97.67%,-2.60%,2020-02-09,Sam S. Shubert Theatre,"$1,751,250.00",$423.00,"1,435",0
134,West Side Story,"$1,521,431.00","$89,456.50",$109.30,"13,920",0,100.00%,0.00%,2020-02-09,Broadway Theatre,"$1,722,464.00",$373.00,"1,740",8
135,Wicked,"$1,410,131.50","$108,301.50",$94.23,"14,964",8,97.12%,-2.47%,2020-02-09,Gershwin Theatre,"$1,779,845.00",$250.00,"1,926",0
136,Ain't Too Proud—The Life and Times of the Temptations,"$1,153,957.43","-$100,954.97",$113.19,"10,195",8,89.49%,0.13%,2020-02-02,Imperial Theatre,"$1,520,824.00",$297.00,"1,424",0
137,Aladdin,"$1,059,806.90","-$59,188.00",$81.41,"13,018",8,94.22%,-1.01%,2020-02-02,New Amsterdam Theatre,"$1,355,787.00",$215.50,"1,727",0
138,Beetlejuice,"$1,053,959.90","-$91,728.20",$91.71,"11,492",8,96.22%,-3.41%,2020-02-02,Winter Garden Theatre,"$1,310,008.00",$323.00,"1,493",0
139,The Book of Mormon,"$964,397.60","-$57,303.20",$118.91,"8,110",8,96.82%,0.32%,2020-02-02,Eugene O'Neill Theatre,"$1,190,502.00",$477.50,"1,047",0
140,Chicago,"$575,483.90","-$52,564.25",$81.13,"7,093",8,82.09%,-4.65%,2020-02-02,Ambassador Theatre,"$960,444.00",$207.00,"1,080",0
141,Come From Away,"$826,739.70","-$67,340.14",$97.83,"8,451",8,100.99%,-0.32%,2020-02-02,Gerald Schoenfeld Theatre,"$1,108,592.00",$297.00,"1,046",0
142,David Byrne's American Utopia,"$1,163,217.50","-$17,611.50",$201.74,"5,766",6,100.00%,0.00%,2020-02-02,Hudson Theatre,"$794,379.00",$329.00,961,0
143,Dear Evan Hansen,"$1,018,671.10","-$16,749.96",$128.77,"7,911",8,100.50%,-0.95%,2020-02-02,Music Box Theatre,"$1,234,034.00",$297.00,984,0
144,Frozen,"$972,671.00","-$29,178.00",$78.73,"12,354",8,91.70%,-2.27%,2020-02-02,St. James Theatre,"$1,156,856.00",$217.50,"1,684",0
145,Grand Horizons,"$225,365.13","$9,126.67",$61.83,"3,645",8,77.88%,-14.98%,2020-02-02,Helen Hayes Theater,"$571,240.00",$199.00,585,0
146,Hadestown,"$1,086,979.75","-$35,029.25",$146.99,"7,395",8,100.69%,-0.51%,2020-02-02,Walter Kerr Theatre,"$1,094,012.00",$0.00,918,0
147,Hamilton,"$2,676,538.00","$2,533.00",$248.89,"10,754",8,101.53%,0.02%,2020-02-02,Richard Rodgers Theatre,"$2,605,608.00",$847.00,"1,324",0
148,Harry Potter and the Cursed Child,"$993,272.00","-$25,514.00",$76.55,"12,976",8,100.00%,0.00%,2020-02-02,Lyric Theatre,"$928,046.00",$296.50,"1,622",0
149,The Inheritance,"$401,831.00","-$22,418.50",$83.51,"4,812",8,57.40%,0.58%,2020-02-02,Ethel Barrymore Theatre,"$1,137,638.00",$347.00,"1,048",0
